,Profile,Campany,Skills,Exp,Location
87,"""HR EXECUTIVE"" , Hr Recruiter     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","Communicationskills,ComputerSkills",1 - 5 yrs,₹Rs 1.00 - 3.00 Lacs p.a.
88,Project Engineer - Substation Automation     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",ProjectEngineer-SubstationAutomation,10 - 15 yrs,₹Rs 8.00 - 14.00 Lacs p.a.
89,Hiring For Chemistry Faculty  N E E T  /  I I T-M     Mithra Jobs Pvt Ltd     (More Jobs),"Mithra Jobs Pvt Ltd
     (More Jobs)","ChemistryFaculty,NEET,IIT-M",8 - 13 yrs,₹Rs 18.00 - 20.00 Lacs p.a.
90,"""IOT ENGINEER""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)",Creationanddevelopmentofthedevices,4 - 8 yrs,₹Rs 3.00 - 5.00 Lacs p.a.
91,"""COUNTER SALES PERSON""     Global Jobs     (More Jobs)","Global Jobs
     (More Jobs)","Knowledgeanduseofcashregister,CashHandling",1 - 2 yrs,₹Rs 1.00 - 2.00 Lacs p.a.
92,Senior MEP Engineer - HVAC     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)","SeniorMEPEngineer-HVAC,Hvac,mep",7 - 12 yrs,"Delhi/NCR,  Pune,  Guwahati,  Chandigarh,  Gwalior"
93,Chartered Accountant     Aadis Jobs     (More Jobs),"Aadis Jobs
     (More Jobs)","Reconciliation,BalanceSheet,audit,Compliance,Statutory",4 - 9 yrs,₹Rs 5.00 - 9.00 Lacs p.a.
94,"Freelance Proofreader , Fulltime Freelancer , Free Lancer     Inflex jobs and consultancy private limited     (More Jobs)","Inflex jobs and consultancy private limited
     (More Jobs)","businessanalyst,MicrosoftTechnologies,Management,proofreader,editor,writer,technicalwriter",0 - 1 yrs,"Delhi,  Chandigarh,  Pondicherry/Puducherry,  Guntur,  Kakinada"
95,HR Recruiter     Jobs Plan Dot Com     (More Jobs),"Jobs Plan Dot Com
     (More Jobs)","HR,Humanresource,humanresourceexecutive,hrexecutive,r,recruitment,selection,recruiting,Staffing,Hiring",1 - 6 yrs,₹Rs 1.00 - 3.00 Lacs p.a.
96,GM-Planning  &  Monitoring     Sahyog Jobs Consultancy     (More Jobs),"Sahyog Jobs Consultancy
     (More Jobs)",GM-Planning&Monitoring,15 - 20 yrs,"Delhi/NCR,  Bhopal"
